Title,Category,Type,Description,Application,Reference 
.ph, Developer Files, Perl Header File, Header file that may be referenced by one or more Perl (.PL) scripts; contains Perl code that may include variable declarations and functions; similar to a C header (.H) file. but used by Perl programs., Empty, https://fileinfo.com//extension/ph
.alb, Developer Files, Alpha Five Library, Library used by Alpha Five. an IDE that allows users to develop Web applications; stores data dictionary information for an .ADB file. including settings. script pointers. menus. user-defined functions. bitmaps. toolbars. and import definitions., Empty, https://fileinfo.com//extension/alb
.jsfl, Developer Files, Animate JSFL Script File, Script written in Flash JavaScript (JSFL). an API that extends regular JavaScript to include the Flash Document Object Model (DOM); contains JFSL program code written in a plain text format., Adobe Animate CC 2019|Adobe Animate CC 2019, https://fileinfo.com//extension/jsfl
.mv, Developer Files, MivaScript File, Script used by MivaScript. a Web-based programming language used for developing e-commerce websites; contains MivaScript source code. which defines a Web page with display information and and methods to accept and retrieve stored data., Miva Merchant Script Compiler|Miva Merchant Script Compiler, https://fileinfo.com//extension/mv
.fsscript, Developer Files, Visual F# Script," Script written in F#. a functional programming language formally introduced with Visual Studio 2010; meant to be run with the ""F# Interactive"" mode in Visual Studio; used for executing scripted F# code rather than compiling it into a .DLL or .EXE file.", Empty, https://fileinfo.com//extension/fsscript
.clw, Developer Files, Visual C++ ClassWizard File, Developer file created by ClassWizard. a software component included as part of Microsoft Visual C++; contains template information for initializing source code; used for auto-generating classes. functions. and other code., Empty, https://fileinfo.com//extension/clw
.mrt, Developer Files, Stimulsoft Report File, Report file created by Stimulsoft Reports. a Windows report generator; contains the page layout information. data fields. and visual elements for the report; can be saved in many different formats. including Adobe .PDF. Microsoft Office (.DOCX. .XLSX. .PPTX). .HTML. and several raster and vector image formats., Stimulsoft Reports|Itelio Docusnap, https://fileinfo.com//extension/mrt
.m, Developer Files, MATLAB Source Code File, An M file is a class implementation file used by programs written in Objective-C.  It begins with the @implementation directive and initializes variables and functions that can be referenced by other Objective-C source files.  M files may also reference header (.H) files., jEdit|jEdit|jEdit|winmercury|Mercury Compiler|Beaver|Leafpad|FMPMD2000, https://fileinfo.com//extension/m
.lol, Developer Files, LOLCODE Source Code FIle," Source code file written in LOLCODE. a programming language inspired by ""lolcats"" images; contains source code that uses slang syntax and keywords such as HAI (for ""Hi"" or ""Hello"") which denotes the beginning of the program. and KTHXBYE (for ""OK thanks. bye""). which signals the end of the program.", LOLPython|lolcode-dot-net|LOLPython|LOLPython|mailchimp-lolcode-interpreter, https://fileinfo.com//extension/lol
.csx, Developer Files, Visual C# Script, Developer file written in Visual C# Script. a C# API developed by Microsoft under the codename The Roslyn Project; used for developing components in C# that can run on-demand as scripts with the Roslyn framework., Empty, https://fileinfo.com//extension/csx
.cu, Developer Files, CUDA Source Code File," Developer file written for CUDA. an NVIDIA architecture created for parallel processing on nVidia GPUs; contains source code written in the ""C for CUDA"" language. which is similar to the standard C language with a few CUDA-specific extensions.", NVIDIA CUDA Toolkit, https://fileinfo.com//extension/cu
.wsp, Developer Files, SharePoint Solution Package, Package used by SharePoint. an enterprise-level document and content management system; saves a Windows SharePoint Services solution. which is a custom component. such as a website. that can be added to a company's SharePoint site., Microsoft SharePoint, https://fileinfo.com//extension/wsp
.dpl, Developer Files, Delphi Package Library, Dynamic-link library (DLL) used for building Delphi applications; contains components that can be shared across multiple projects., Empty, https://fileinfo.com//extension/dpl
.inc, Developer Files, Include File, Text file containing declarations. headers. functions. or other data referenced by a program's source code; can be used with C/C++. Pascal. Java. PHP (Web pages). and other languages., Empty, https://fileinfo.com//extension/inc
.hxx, Developer Files, C++ Source Code Header File, Source code header file written in the C++ programming language; may include data types. constants. variables. and other definitions; used for declaring and storing reusable components of code., Eclipse IDE for C Developers|Eclipse IDE for C Developers|Eclipse IDE for C Developers, https://fileinfo.com//extension/hxx
.setup, Developer Files, CryENGINE Character Setup File, File used by the CryENGINE SDK. a collection of programs used for building 3D games for PC and console systems; used with a .CAL and .IK file for configuring the character animation data for a game., Empty, https://fileinfo.com//extension/setup
.lsp, Developer Files, Lisp Program Source Code File, Source code file written in Lisp. a programming language that includes variations such as Common Lisp and Scheme; stores plain text program code that can be executed with a Lisp interpreter; may be a application component or an entire program., Clozure CL|Ufasoft Lisp Studio|Clozure CL|CMUCL|GNU CLISP|Clozure CL|CMUCL, https://fileinfo.com//extension/lsp
.a2w, Developer Files, Alice World," 3D world created with Alice. a Java-based educational programming tool used for creating animations and interactive game; defines a three-dimensional space. or ""world."" that contains 3D objects; compressed in a standard .ZIP format.", Adlib Tracker II, https://fileinfo.com//extension/a2w
.lnt, Developer Files, PC-lint/FlexeLint Configuration File, Text file that contains PC-lint or FlexeLint options and names of C/C++ source files to be linted (or analyzed); used for defining the programming environment and compiler settings., Gimpel Software PC-lint|Gimpel Software FlexeLint, https://fileinfo.com//extension/lnt
.mcp, Developer Files, CodeWarrior Project, Development project created by CodeWarrior. a C and C++ development IDE; saves references to project source code and resource files. as well as project specific preferences; originally used by Metrowerks CodeWarrior (MCP). which is now Freescale CodeWarrior., Freescale CodeWarrior|Megacubo, https://fileinfo.com//extension/mcp
.owl, Developer Files, OWL Source Code File," Source code written in OWL - the ""Obfuscated Weird Language;"" based on the Forth and FALSE programming languages; only supports integer numbers and 26 variables - A through Z.", Empty, https://fileinfo.com//extension/owl
.src, Developer Files, Source Code, Source code of a program written in one of many possible programming languages; may be edited with programming software or a basic text editor; can be compiled into an executable program using a software compiler., Helios TextPad, https://fileinfo.com//extension/src
.pkgdef, Developer Files, Visual Studio Shell File, File created by Microsoft Visual Studio. a Microsoft SDK; contains application configuration settings used to customize an isolated shell application; looks similar to the .REG file., Empty, https://fileinfo.com//extension/pkgdef
.gch, Developer Files, Precompiled Header File, File created for program development applications such as GNU project C and C++ compiler (GCC) and Microsoft Visual C++; contains a precompiled header .H file in order to reduce the processing time for compilers; similar to precompiled header .PCH files; contains C/C++ programming language referenced by other source code files. such as .CPP files., Empty, https://fileinfo.com//extension/gch
.vpc, Developer Files, ViziGen Configuration File, Project configuration file used by ViziGen HC. a software development tool; contains information that relates a model to a set of ViziGen templates (.VGC files) and controls the code generation process., Empty, https://fileinfo.com//extension/vpc
.vac, Developer Files, Oc2.316s Cakit File, Computer Algebra kit; contains a large set of classes for polynomial computing and arbitrary precision integer arithmetic., MikuMikuDance, https://fileinfo.com//extension/vac
.cbl, Developer Files, COBOL Source Code File, Source code file written in COBOL (COmmon Business-Oriented Language). one of the oldest programming languages still in use; often used for writing programs for business. accounting. and administration; must be compiled by a COBOL compiler for the target system before run., IBM COBOL|GnuCOBOL|Alchemy Solutions NetCOBOL|GnuCOBOL|TinyCOBOL|GnuCOBOL, https://fileinfo.com//extension/cbl
.hrl, Developer Files, Erlang Header File, Source code file written in Erlang. a programming language used for developing real-time systems for instant messaging. e-commerce. and computer telephony; used as a header file that is included in Erlang source files (.ERL extension); generally used for storing macros shared by different software components., Erlang, https://fileinfo.com//extension/hrl
.cp, Developer Files, Xcode C++ Source File, A CP file is a project file created by Adobe Captivate. an eLearning content authoring tool.  It stores a series of slides. each of which may contain static and dynamic content.  CP files may include screen recordings and Flash embedded content., Empty, https://fileinfo.com//extension/cp
.pyx, Developer Files, Pyrex Source Code File, Source code file written in Pyrex. a Python-like language used for writing Python extension modules with C-like syntax; may contain references to existing C modules; compiles code that increases the execution time of Python programs., Pyrex|Pyrex|Pyrex, https://fileinfo.com//extension/pyx
.gm, Developer Files, GameMonkey Script, Script written for GameMonkey Script. a scripting language used for embedding logic into games and other applications; uses syntax similar to the C language and uses concepts similar to the Lua language; can be used for custom software modifications., GameMonkey Script|Microprose Transport Tycoon|Microprose Transport Tycoon Deluxe|OpenTTD, https://fileinfo.com//extension/gm
.f90, Developer Files, Fortran 90 Source Code File, Source code file written in the Fortran 90 (F90) language. a programming language suitable for numerical and scientific computing; often edited with text editors that provide syntax highlighting; can be a program module or an entire program., Intel Composer XE|Intel Composer XE|Intel Composer XE, https://fileinfo.com//extension/f90
.pl1, Developer Files, PL/I Source Code, Program written in PL/I (Programming Language One). a language designed primarily for data processing applications; supports recursion and structured programming; designed to be highly-structured. yet is also free-form. having no reserved keywords., Empty, https://fileinfo.com//extension/pl1
.nbc, Developer Files, Next Byte Codes Source Code File, File written in Next Byte Codes (NBC). a programming language used to program LEGO NXT programmable bricks; contains source code with an assembly language-like syntax and can specify instructions for brick motion; used for programming movements for LEGO robot parts., Bricx Command Center|NBC|NBC|NBC, https://fileinfo.com//extension/nbc
.cxx, Developer Files, C++ Source Code File, Source code file written in the C++ programming language; can contain a standalone program or components that can be included in other C++ source files; often edited with a text editor that includes syntax highlighting., Eclipse IDE for C Developers|Eclipse IDE for C Developers|Eclipse IDE for C Developers, https://fileinfo.com//extension/cxx
.project, Developer Files, Eclipse Project Settings File, File created by Eclipse when creating a new project; saved in an XML format and contains the project name. build specifications. and dependencies; used for saving and loading projects into the Eclipse IDE; uses the filename .prefix., Empty, https://fileinfo.com//extension/project
.go, Developer Files, Go Source Code File, Source code for a program written in Go. a programming language originally developed by Google;  contains code written in plain text format that must be compiled before being run as a program., LiteIDE|LiteIDE|LiteIDE, https://fileinfo.com//extension/go
.gwd, Developer Files, Galaxy Watchface Design File, A GWD file is a watchface design project created by Samsung Galaxy Watch Studio. an application used by developers to create faces for various Samsung watches.  It contains a design for a watchface. which includes the background. index. images. animation. complications (battery. heart rate. workout. etc.). and watch hands., Samsung Galaxy Watch Studio|Samsung Galaxy Watch Studio, https://fileinfo.com//extension/gwd
.hal, Developer Files, HansaWorld Application Language File, File used by HansaWorld ERP system Enterprise. an Enterprise Resource Planning (ERP) application; contains program code written in the HansaWorld Application Language (HAL); used to create customized components. such as business reports and database forms., Empty, https://fileinfo.com//extension/hal
.fpp, Developer Files, Fortran Source Code, Contains source code written in Fortran. an older programming language; may be compiled into a standalone program using a Fortran compiler., Emu 8086 Flow Chart Visual Programming Language |The Game Creators FPS Creator|Front Panel Designer, https://fileinfo.com//extension/fpp
.sup, Raster Image Files, Super Project Definition File, Subtitle bitmap image extracted from a DVD or Blu-ray movie; contains subtitle text graphics that are displayed during movie playback; can be used for adding DVD subtitles to movies with authoring programs such as IfoEdit., DVDSupTools|SupRip|SupViewer|SubtitleCreator|Avisynth|IfoEdit|VobEdit|EmmGunn SUBtools, https://fileinfo.com//extension/sup
.asm, Developer Files, Visual Studio Assembler Source Code File, Program written in assembly language. a low level programming language that can be converted to machine language; may be edited with a text editor and run using an assembler program. such as HLA. MASM. FASM. NASM. or GAS., Empty, https://fileinfo.com//extension/asm
.forth, Developer Files, Forth Language File, Code file for Forth programming language. which is supported by several different text editors for features such as syntax highlighting; contains Forth programming language similar to how .C files contain C or C++ source code; same file format as the .4TH file., GNU Gforth|Kate Editor|Kate Editor|GNU Gforth|Kate Editor|KWrite, https://fileinfo.com//extension/forth
.tmpl, Misc Files, BlueJ Default Template, Template file used by Xfire. an instant messaging application for gamers; contains an HTML template file for displaying a user interface page; saved in plain text and contains %variable% code tags that are replaced by user interface-specific values when the application runs., Empty, https://fileinfo.com//extension/tmpl
.webtest, Developer Files, Visual Studio Web Test File, A WEBTEST file contains a web test used by Visual Studio. a software development tool for Windows programs and web applications.  It stores HTTP requests that have been recorded by the Web Test Recorder in a browser session or manually built by the Web Test Editor in Visual Studio.  WEBTEST files are used by developers to test the performance of a website before it is published., Empty, https://fileinfo.com//extension/webtest
.xcode, Developer Files, Xcode Project, Developer project file created by Xcode. a software development IDE used for creating Mac OS X applications; much less commonly used than .XCODEPROJ. which is the default Xcode project file extension., Empty, https://fileinfo.com//extension/xcode
.vssscc, Developer Files, Visual Studio Solution Source Control File, Source Code Control (SCC) file for software developed with Microsoft Visual Studio; contains metadata that tracks revisions of source code files developed with Visual Studio; includes information such as the version number. file path. and the number of nested projects., Empty, https://fileinfo.com//extension/vssscc
.pbj, Developer Files, Pixel Bender Bytecode File, Image filter file created by Pixel Bender Toolkit. an application used for creating custom image filters for Flash applications. Photoshop. and other Adobe products; contains byte code (executable binary code) that has been compiled from a .PBK file; used for performing image manipulations such as blurs. pixelations. fades. and twirls., Adobe Pixel Bender Toolkit|Adobe Pixel Bender Toolkit, https://fileinfo.com//extension/pbj
.fsproj, Developer Files, Visual F# Project File, F# developer project file created by Visual F#. a component of Microsoft's Visual Studio software development kit; stores project settings in an XML format; contains references to source code files. included libraries. and other program assets., JetBrains Rider|Microsoft Visual Studio for Mac|JetBrains Rider|JetBrains Rider, https://fileinfo.com//extension/fsproj
.vhdl, Developer Files, VHDL Source File, A VHDL file is a source file written in the VHDL language. which stands for Very High Speed Integrated Circuits (VHSIC) Hardware Description Language (HDL).  It may be used to specify how a circuit and its components operate and are implemented.  It is similar to the .VHD file but less common., Mentor Graphics ModelSim|Green Mountain DirectVHDL|Green Mountain DirectVHDL|Mentor Graphics ModelSim, https://fileinfo.com//extension/vhdl
.fce, Developer Files, ForeUI Custom Element File, File used by ForeUI. a user interface prototyping tool; contains a custom user interface element created by a developer; used for extending the default elements provided by the application., EaSynth Solution ForeUI|NFS Wizard|VIV Wizard|Electronic Arts Need for Speed, https://fileinfo.com//extension/fce
.xojo_xml_project, Developer Files, Xojo XML Project File, Project created by Xojo. an IDE used to create desktop. web. and web-mobile applications; contains data in XML format that references contents of the application. such as windows. menus. controls. and build settings; can be built into an executable file., Empty, https://fileinfo.com//extension/xojo_xml_project
.edml, Developer Files, Adobe Extension Data Markup Language Document, File used by Adobe Dreamweaver. a program used for building websites and Web applications; contains properties and instructions for how to display and populate data; often used for creating custom server behaviors., Empty, https://fileinfo.com//extension/edml
.pcp, Developer Files, Windows Installer Patch Creation Properties File, File used by the Windows Installer. which is the standard installer software included with the Windows operating system; contains global settings for a software patch package; used for generating .MSP patch files., Empty, https://fileinfo.com//extension/pcp
.cls, Misc Files, Program Class File, File written in LaTeX. a document markup language often used for typesetting academic papers; stores a class with a predefined typeset configuration that can be imported into a .TEX document; used for storing templates for articles. forms. and other types of documents., TeXnicCenter|proTeXt|TeXShop, https://fileinfo.com//extension/cls
.msha, Developer Files, Microsoft Help Asset File," File used by MS Help Viewer 1.x. a Visual Studio component that helps developers author help documentation for software applications; saves the help manifest. which defines the help ""Books"" (help documents). which contain ""Packages"" (.MSHC help content files) to be installed.", The Helpware Group FAR, https://fileinfo.com//extension/msha
.rls, Developer Files, Symbian Localization File, Developer file used by Symbian OS mobile applications; contains strings. such as user popup messages and menu text. that are translated into different languages; allows an application to be localized into multiple languages., Empty, https://fileinfo.com//extension/rls
.xq, Developer Files, XQuery File, File written using XQuery. a language used for querying and manipulating data from XML data sources; contains source code that reads and extracts information using a logical data model created from an XML data source; used in various Web and desktop software products for handling XML content., Empty, https://fileinfo.com//extension/xq
.v11.suo, Developer Files, Visual Studio 2012 Solution User Options File, User information file created by Visual Studio 2012. a software development tool used for creating Windows programs and Web applications; contains user information for a project such as expanded nodes. opened tool windows. and user tasks; structured in a binary format., Empty, https://fileinfo.com//extension/v11.suo
.lisp, Developer Files, Lisp Source Code File, Source code file written in Lisp. a programming language that has several different dialects including Common Lisp and Scheme; contains plain text program code that is run with a Lisp interpreter; may be an entire program or a part of a larger Lisp application., Clozure CL|Ufasoft Lisp Studio|Clozure CL|CMUCL|Clozure CL|GNU CLISP|CMUCL, https://fileinfo.com//extension/lisp
.sud, Developer Files, Super Project Analyzer File, Project saved by Super Project Analyzer. a program that analyzes software development projects; contains information about files. procedures. constants. variables. data types and enums., Pappocom Sudoku, https://fileinfo.com//extension/sud
.xoml, Developer Files, Windows Workflow File, File written in XAML (Extensible Application Markup Language). a descriptive programming language used for creating user interfaces; contains a tree-based structure that defines a root workflow node and nested sub-elements; may also contain embedded segments of code., Empty, https://fileinfo.com//extension/xoml
.mshc, Developer Files, Microsoft Help Container File, Help package created in the MS Help Viewer 1.x format. which replaces the MS Help 2.x (.HXS) and MS Help 1.x (.CHM) formats; stores help content such as .HTML files. images. and written text; saved in a compressed .ZIP format., The Helpware Group FAR|Microsoft File Explorer, https://fileinfo.com//extension/mshc
.gitignore, Developer Files, Git Ignore File, File used by Git. a version control system used for storing source code; contains a list of files that should not be committed to the Git source code repository; often used for omitting non-text (binary) files. OS files (e.g.. .DS_STORE and Thumbs.db files). and temporary files from the repository., Git|Git|Git, https://fileinfo.com//extension/gitignore
.exp, Developer Files, Symbols Export File, Developer file used by various software development IDEs and compilers; stores symbol table data. which is information about a program's data and functions; used for linking program information to another program. such as a debugger., Freescale CodeWarrior Development Tools|Wilcom Hatch Embroidery Digitizer|Intuit QuickBooks Pro|Pelco DX Series Export Viewer|Wilcom Hatch Embroidery Digitizer, https://fileinfo.com//extension/exp
.dart, Developer Files, Dart Source Code File, A DART file is a source code file that contains Dart programming language.  It is used for building web. server. and mobile applications and IoT devices.  Dart programming language an object-oriented language with C-style syntax that supports mixins. abstract classes. optional typing. and interfaces., Dart|Dart|Dart, https://fileinfo.com//extension/dart
.v, Developer Files, Coq Source Code File, A file with a V file extension may be a source code file written in the Verilog hardware description language (HDL).  It specifies a model of an electronic system.  V files typically contain Verilog 2005 source code. but they may also use one of the older Verilog standards. such as Verilog-95 or Verilog 2001., Icarus Verilog|Verilog 2005 parser|Cadence Design Systems Incisive|SYNAPTICAD VeriLogger Extreme|Mentor Graphics ModelSim|Icarus Verilog|Verilog 2005 parser|Icarus Verilog|CoqIDE|CoqIDE|CoqIDE, https://fileinfo.com//extension/v
.dbml, Developer Files, Visual Studio OR Design File," XML file created by Microsoft's Object Relational (OR) Designer. which is included with Visual Studio and other Microsoft database software development tools; contains ""LINQ to SQL"" (Language-Integrated Query to Structured Query Language) entity classes that map to objects within a database.", Empty, https://fileinfo.com//extension/dbml
.winmd, Developer Files, Windows Metadata File, File created using the Microsoft Interface Definition Language (MIDL); contains metadata that represents the API for customized Windows Runtime components; written in the DLL file format but does not have to contain code like traditional .DLL files; its format is used by the .NET framework., Empty, https://fileinfo.com//extension/winmd
.wxs, Developer Files, WiX Source File, Source file created by Windows Installer XML (WiX) toolset. a Windows installer developing program; XML document containing one root element (<Wix>); a collection of strings for localizing a product into a specific culture; similar to .CPP files., Empty, https://fileinfo.com//extension/wxs
.md, Developer Files, Machine Description File, An MD file is a text file created using one of several possible dialects of the Markdown language.  It is saved in plain text format but includes inline text symbols that define how to format the text (e.g.. bold. indentations. headers. table formatting).  MD files are designed for authoring plain text documentation that can be easily converted to HTML., Daring Fireball Markdown|MacDown|Daring Fireball Markdown|Daring Fireball Markdown|GitHub|SBWin|PS2 Save Builder, https://fileinfo.com//extension/md
.pot, Data Files, Portable Object File, A POT file is a template created by PowerPoint. a program used to create slide show presentations.  It contains the default layout. formatting. and styles for a slide show.  POT files are used to create multiple .PPT files with the same formatting., Kingsoft Presentation, https://fileinfo.com//extension/pot
.pl, Developer Files, Prolog Source Code File, A PL file contains source code written in Perl. which is a scripting language that is compiled and run using a Perl interpreter.  It contains lines of Perl program code with variables. operations. functions. and comments.  PL files may be difficult to read due to the brief and compact nature of the Perl language syntax., Strawberry Perl|ActiveState ActivePerl|IndigoStar PerlEdit|ActiveState ActivePerl|Late Night Affrus|ActiveState ActivePerl, https://fileinfo.com//extension/pl
.mq4, Developer Files, MQL4 Source Code File, An MQ4 file is a program written for MetaTrader. an online trading platform for Forex. Futures. and CFD markets.  It contains code written in MetaQuotes Language 4 (MQL4). which typically includes variables. functions. and comments.  MQ4 files may be custom indicators. scripts. or library files., MetaQuotes MetaTrader 4|MetaQuotes MetaTrader 4|MetaQuotes MetaTrader 4|MetaQuotes MetaTrader 4|MetaQuotes MetaTrader 4, https://fileinfo.com//extension/mq4
.gitkeep, Developer Files, Git Keep File, A GITKEEP file is an empty file that Git users create so that a Git repository preserves an otherwise empty project directory.  By convention. empty directories that contain no files are not committed to Git repositories.  However. a single GITKEEP file in a directory causes Git to preserve the directory in the repository., Git|Git|Git, https://fileinfo.com//extension/gitkeep
.nw, Developer Files, Node-Webkit App Package," Package created for node-webkit. an app runtime based on node.js and Chromium and used for running apps written in HTML and JavaScript; contains a compressed app package. which includes app files such as the ""package.json"" file that describes the package and any library files (.DLL files for Windows).", node-webkit|node-webkit|node-webkit, https://fileinfo.com//extension/nw
.vsmacros, Developer Files, Visual Studio Binary Macro Project, Binary version of a macro project created by Visual Studio. a Windows application development tool created by Microsoft; contains a sequence of actions either recorded by the user in capture mode. or manually programmed in a Visual Studio editor; used for automating repetitive tasks needed during software development., Empty, https://fileinfo.com//extension/vsmacros
.buildsetting, Developer Files, Twixl Publisher Builder Build Setting, Build settings package created by Twixl Publisher. a program that enables users to create interactive content apps for mobile devices; stores the settings used to build a mobile app. which includes the application icon. info.plist file. and other app resources., Twixl Publisher|Twixl Publisher, https://fileinfo.com//extension/buildsetting
.ist, Developer Files, InstallShield Project Template File, Project template created by InstallShield. a program used to create Windows Installer (.MSI) and InstallScript-based installation packages; contains a reusable template. including default settings. code. and design elements; may include directory structures. custom scripts. default images. and text., Empty, https://fileinfo.com//extension/ist
.vdp, Developer Files, Visual Studio Deployment Project, Setup and deployment project created by Visual Studio. a Microsoft application used to develop Windows programs; contains settings for building and packaging a project; commonly used for deploying installer files. such as .MSI files., Empty, https://fileinfo.com//extension/vdp
.pli, Developer Files, PL/I Source Code File, Program source code file written in the PL/I (Programming Language One) language; developed by IBM in the 1960s and is often used for business. engineering. and scientific applications., Empty, https://fileinfo.com//extension/pli
.idt, Developer Files, Windows Installer Database Text Archive File, Text file created by exporting a table from a Windows Installer database; contains the ASCII text representation of the relational data stored in the table; used for reviewing database information in a human-readable format; also used for committing the text version of a table to a source code control system., Empty, https://fileinfo.com//extension/idt
.edmx, Developer Files, ADO.NET Entity Data Model Designer File, Data model file created by the Entity Data Model Designer component of Microsoft Visual Studio; stores the schema for a database. including entities (e.g.. database tables). their fields. and their relationships (e.g.. one-to-one and one-to-many)., Empty, https://fileinfo.com//extension/edmx
.mako, Developer Files, Mako Template, Developer file used by Mako. a Python template engine; may contain both text and statements written in the Mako language; compiled into a Python module. which can be invoked in a Python program to output a filled template; most often used for auto-generating Web pages., Mako, https://fileinfo.com//extension/mako
.lbi, Developer Files, Dreamweaver Library Item, Library file used by Adobe programs such as Dreamweaver. Flash. and Fireworks; stores a single asset from a larger library collection; may be a JavaScript function. an image. or other Web page component., Empty, https://fileinfo.com//extension/lbi
.uft, Developer Files, Torque Font Cache File, A UFT file is a font cache file created by Torque. a game engine used to create two and three-dimensional video games.  It contains font graphics used for displaying in-game text.  UFT files are generated by Torque 2D or 3D SDKs from a font that is chosen by the developer (e.g.. Arial 12. Times 14. etc.)., GarageGames Torque2D|GarageGames Torque3D|GarageGames Torque2D|GarageGames Torque3D, https://fileinfo.com//extension/uft
.defs, Developer Files, BlueJ Settings File, Configuration file created for BlueJ. a Java development environment; contains administrator settings for the BlueJ program such as the desired language and location of libraries., Empty, https://fileinfo.com//extension/defs
.pm, Raster Image Files, Perl Module," Bitmap image format generated by the Unix program ""xv."" an interactive image manipulation program for the X Window System; also a used by IBM's OS/2 Presentation Manager.", Empty, https://fileinfo.com//extension/pm
.ccn, Developer Files, Compressed Multimedia Fusion File, Development file generated by Multimedia Fusion (MMF). a game creation program; typically generated from sub-application objects within an application; referenced by MMF when building the final game application., Empty, https://fileinfo.com//extension/ccn
.dgsl, Developer Files, Visual Shader Graph File, File created by the Shader Designer component of the Visual Studio IDE; contains a directed graph that defines 3D surfaces and operations to be performed on the surfaces (e.g.. shading. lighting. etc.); often used by programmers that want to develop shaders visually without manually writing source code., Empty, https://fileinfo.com//extension/dgsl
.plc, Developer Files, PL/B Source File, Program source code file created with Sunbelt PL/B; written in the PL/B programming language. a high-level. English-like language optimized for screen. file. and string manipulation., Empty, https://fileinfo.com//extension/plc
.sas, Developer Files, SAS Program File, Program written for SAS (Statistical Analysis Software). a group of applications developed for data modeling and analysis; contains SAS program code saved in standard ASCII text format; used for executing processes or jobs within SAS programs., Empty, https://fileinfo.com//extension/sas
.tcc, Data Files, C++ Source Code File, File created by TimeCalc. a time card tracking program; stores an employee time sheet. including task start and stop times. employee ID. and pay period information; used for totaling hours and disbursing payroll in small business environments., Borland C++Builder, https://fileinfo.com//extension/tcc
.uml, Developer Files, UML Data Object Model, Object model description created using the Unified Modeling Language (UML). a standard way of describing objects in an XML format; used in software development and may include a list of elements and classes associated with a program object., Empty, https://fileinfo.com//extension/uml
.mer, Developer Files, RSView Development Runtime File, Runtime file created from an RSView development (.MED) file; contains program data that has been compiled and saved in an executable format; used for HMI (Human Machine Interface) applications., Empty, https://fileinfo.com//extension/mer
.dob, Developer Files, Visual Basic UserDocument, ActiveX program file saved during the development of an ActiveX project; plain text file that contains the project source code. definitions of the project?s controls. and other project data., Empty, https://fileinfo.com//extension/dob
.pn, Misc Files, Pinecone Source Code File, A PN file is a file that was created by Powernoodle. an online collaboration tool used to discuss business plans. ideas. and implementations.  It stores content created through a Powernoodle session. such as diagrams. outlines. and debriefings. that is saved as a template for sharing with other users., Pinecone|Microsoft Visual Studio Code|Pinecone|Microsoft Visual Studio Code|Pinecone|Microsoft Visual Studio Code, https://fileinfo.com//extension/pn
.inl, Developer Files, C++ Inline File, Source code file used by Microsoft C++ compilers; contains inline functions that can be included into C++ programs; used for storing reusable program components., Empty, https://fileinfo.com//extension/inl
.ddx, Developer Files, Alpha Five Data Dictionary Index File, Index file created by Alpha Five. a Web. desktop. and mobile application IDE; contains an index of the table dictionary. which consists of a .DDD. .DDM. and DDX file; used by Alpha to locate a specific element such as a field rule or form name., Empty, https://fileinfo.com//extension/ddx
.hhh, Developer Files, Power C Precompiled Header File, Precompiled header that contains information referenced by a Power C program; similar to a .HH file. but used specifically by Power C development software., Empty, https://fileinfo.com//extension/hhh
.jic, Developer Files, JTAG Indirect Configuration File, Configuration file that enables indirect programming of a electronic device through a JTAG (Joint Test Action Group); used by Altera development software., Altera Quartus II, https://fileinfo.com//extension/jic
.el, Developer Files, Emacs Lisp Code File, Lisp file referenced by Emacs. a basic multiplatform text editor; contains Lisp code that may define Emacs configuraton settings or may add additional features to the program., Empty, https://fileinfo.com//extension/el
.alp, Developer Files, AnyLogic Project File, Project file created by AnyLogic. an IDE used for developing simulation models; may store one of several types of supported AnyLogic model types. such as a discrete event simulation model. a system dynamics model. or an agent based model; saves all project information. including the model design canvas. configured simulation experiments. model parameters. and references to external project resources., AnyLogic|AnyLogic, https://fileinfo.com//extension/alp
.csi, Developer Files, ContentServ Include File, Source code file that may be referenced by other files within a ContentServ project; contains code that may include functions. variables. and other objects that can be used by other project files., Empty, https://fileinfo.com//extension/csi
.a, Developer Files, Static Library, An A file contains a library of functions and headers that may be referenced by a C/C++ source file.  It may store only a few functions or may include an entire library of functions. such as a 3D modeling engine.  A files are typically created by the GNU ar utility., Empty, https://fileinfo.com//extension/a
.dsym, Developer Files, Xcode Debug Symbols File," Debugging information file generated by Apple's Xcode development software; produced during the debugging process if the Debug Information Format is set to ""DWARF with dSYM;"" saved in a package format that can be opened by right-clicking the file and selecting ""Show Package Contents.""", Empty, https://fileinfo.com//extension/dsym
.j, Developer Files, Java Source File, Contains program source code written in the Java programming language; may include the source code for a complete program or may be one of many files referenced by a Java programming project., javac, https://fileinfo.com//extension/j
.elc, Developer Files, Emacs Compiled Lisp File, Compiled Lisp file created by Emacs. a customizable text editor; generated from a standard Lisp (.EL) file using the Emacs byte-code compiler; may contain Emacs configuration settings or may provide extra program functionality., Empty, https://fileinfo.com//extension/elc
.ctxt, Developer Files, BlueJ Context File, File created by BlueJ. a Java language development environment; automatically generated by BlueJ during compilation; contains extra information for a class such as the comments structure and documentation for methods in the code; only one CTXT file can accompany each class., Empty, https://fileinfo.com//extension/ctxt
